movie_id,studio
tt0430304,Columbia Pictures
tt0156934,
tt0396171,Paramount Pictures
tt0107290,Universal Pictures
tt0295178,New Line Cinema
tt1411704,Universal Pictures
tt1961175,CBS Films
tt0111756,Warner Bros.
tt0109444,Paramount Pictures
tt0141926,Universal Pictures
tt0112346,Columbia Pictures
tt3460252,The Weinstein Company
tt0811138,Paramount Pictures
tt0233142,Warner Bros.
tt2267998,Twentieth Century Fox
tt0445934,Paramount Pictures
tt4046784,Twentieth Century Fox
tt1272878,Universal Pictures
tt4500922,Twentieth Century Fox
tt7616798,Columbia Pictures
tt4701660,Sony Pictures Releasing
tt0290002,Universal Pictures
tt1490017,Warner Bros.
tt0892737,
tt0486946,Buena Vista Pictures
tt0822832,Twentieth Century Fox
tt0120689,Warner Bros.
tt0120382,Paramount Pictures
tt3263904,Warner Bros.
tt0258463,Universal Pictures
tt1078940,Universal Pictures
tt0113189,United Artists
tt0317740,Paramount Pictures
tt0317303,Columbia Pictures
tt0144214,Paramount Pictures
tt0120794,DreamWorks Distribution
tt0369339,DreamWorks Distribution
tt0239395,Warner Bros.
tt0313737,Warner Bros.
tt0120587,DreamWorks Distribution
tt0277296,Universal Pictures
tt1245526,Summit Distribution
tt0335438,Warner Bros.
tt0099371,Paramount Pictures
tt0452598,Twentieth Century Fox
tt0879870,Columbia Pictures
tt0790724,Paramount Pictures
tt0328107,Twentieth Century Fox
tt0218967,Universal Pictures
tt1598778,Warner Bros.
tt0146838,Warner Bros.
tt0119314,Buena Vista Pictures
tt0327597,Focus Features
tt0349710,Buena Vista Pictures
tt0149261,Warner Bros.
tt0257568,Warner Bros.
tt0949731,Twentieth Century Fox
tt3300542,Focus Features
tt0160797,Paramount Pictures
tt0393735,Buena Vista Pictures
tt0116705,Twentieth Century Fox
tt0167190,Columbia Pictures
tt3393786,Paramount Pictures
tt1469304,Paramount Pictures
tt0120873,Warner Bros.
tt0120633,Buena Vista Pictures
tt2446980,Fox 2000 Pictures
tt1623288,Focus Features
tt0119395,Universal Pictures
tt0338337,Paramount Pictures
tt0118055,Buena Vista Pictures
tt0420238,Universal Pictures
tt0787474,Focus Features
tt1648190,Columbia Pictures
tt0290095,DreamWorks Distribution
