,title,prd_mthd
638,Inspector Gadget,live action
639,Immortals,live action
640,The Terminal,live action
641,Constantine,live action
642,Monster House,digital animation
643,Vertical Limit,live action
644,Charlie Wilson's War,live action
645,Life,live action
646,Abominable,Live Action
647,Be Cool,live action
648,Munich,live action
649,Killers,live action
650,The Man from U.N.C.L.E.,live action
651,Tears of the Sun,live action
652,Lady in the Water,live action
653,Spanglish,live action
654,Bandits,live action
655,Anna and the King,live action
656,First Knight,live action
657,Sucker Punch,live action
658,Hostage,live action
659,Inferno,Live Action
660,Hollywood Homicide,live action
661,Titan A.E.,digital animation
662,Flight of the Phoenix,live action
663,Soldier,live action
664,Virus,live action
665,Monkeybone,live action
666,Playmobil: The Movie,animation/live action
667,355,live action
668,Minions,digital animation
669,The SpongeBob Movie: Sponge Out of Water,animation/live action
670,Unbreakable,live action
671,Talladega Nights: The Ballad of Ricky Bobby,live action
672,The Angry Birds Movie,digital animation
673,Snake Eyes,live action
674,Sphere,live action
675,The Simpsons Movie,digital animation
676,Fool's Gold,live action
677,Funny People,live action
678,The Kingdom,live action
679,Dr. Dolittle 2,live action
680,Braveheart,live action
681,Jarhead,live action
682,Driven,live action
683,The Majestic,live action
684,Two Brothers,live action
685,The Village,live action
686,Doctor Dolittle,live action
687,Signs,live action
688,Shrek 2,digital animation
689,Cars,digital animation
690,Alvin and the Chipmunks: The Squeakquel,animation/live action
691,It Chapter Two,live action
692,Who Framed Roger Rabbit,animation/live action
693,Runaway Bride,live action
694,xXx,live action
695,Ransom,live action
696,Inglourious Basterds,live action
697,Hook,live action
698,Die Hard 2,live action
699,S.W.A.T.,live action
700,Daddy's Home 2,live action
701,Sleepy Hollow,live action
702,Vanilla Sky,live action
703,Hercules,hand animation
704,Olympus Has Fallen,live action
705,Battle Los Angeles,live action
706,War Horse,live action
707,We Were Soldiers,live action
708,The Monuments Men,live action
709,Storks,digital animation
710,Star Trek: Insurrection,live action
711,Big Fish,live action
712,Wolf,live action
713,Underworld Awakening,live action
714,The Lego Ninjago Movie,digital animation
715,Dracula Untold,live action
716,The Guardian,live action
717,The Abyss,live action
718,The Dilemma,live action
719,Rumor Has It...,live action
720,The Siege,live action
721,Stardust,live action
722,Rock of Ages,live action
723,Seven Years in Tibet,live action
724,Sky Captain and the World of Tomorrow,animation/live action
725,The Brave One,live action
726,I Spy,live action
727,Bad Company,live action
728,Doom,live action
729,The Finest Hours,live action
730,Escape Plan,live action
731,Killer Elite,live action
732,Hard Rain,live action
733,Hart's War,live action
734,Rollerball,live action
735,The Legend of Hercules,live action
736,Next,live action
737,Ballistic: Ecks vs. Sever,live action
738,Osmosis Jones,animation/live action
739,Blackhat,live action
740,Basic Instinct 2,live action
741,Agora é que Conta,historical fiction
742,Despicable Me,digital animation
743,Dinner for Schmucks,live action
744,Red Sparrow,live action
745,The Twilight Saga: Eclipse,live action
746,The Sum of All Fears,live action
747,Ted 2,animation/live action
748,The Score,live action
749,Hall Pass,live action
750,Money Train,live action
751,Dreamcatcher,live action
752,Mystery Men,live action
753,The Insider,live action
754,Downsizing,live action
755,Body of Lies,live action
756,Abraham Lincoln: Vampire Hunter,live action
757,Last Man Standing,live action
758,The Last Legion,live action
759,Entrapment,live action
760,The Making of 'The X Files: Fight the Future',live action
761,Need for Speed,live action
762,Saving Private Ryan,live action
763,What Women Want,live action
764,Lincoln,live action
765,Ice Age,digital animation
766,Apollo 13,live action
767,The Matrix,live action
768,Hotel Transylvania 3: Summer Vacation,digital animation
769,Les Misérables,live action
770,The Santa Clause 2,live action
771,Total Recall,live action
772,You've Got Mail,live action
773,Unbroken,live action
774,Spy,live action
775,Due Date,live action
776,Step Brothers,live action
777,Jumanji,live action
778,The Mask of Zorro,live action
779,Space Cowboys,live action
780,Annie,live action
781,Cliffhanger,live action
782,Pete's Dragon,.
783,Broken Arrow,live action
784,World Trade Center,live action
785,The Kid,live action
786,Mona Lisa Smile,live action
787,The Dictator,live action
788,Eyes Wide Shut,live action
789,This Means War,live action
790,Focus,live action
791,Blade: Trinity,live action
792,Red Dawn,live action
793,We Are Marshall,live action
794,Everest,live action
795,Resident Evil: Retribution,live action
796,The Angry Birds Movie 2,digital animation
797,Primary Colors,live action
798,Fight Club,live action
799,Death Race,live action
800,The Long Kiss Goodnight,live action
801,Proof of Life,live action
802,Zathura: A Space Adventure,animation/live action
803,The Missing,live action
804,Elektra,live action
805,Astro Boy,digital animation
806,"I, Frankenstein",live action
807,Hudson Hawk,live action
808,Underwater,live action
809,Sin City: A Dame to Kill For,live action
810,Live by Night,live action
811,Lucky Numbers,live action
812,Oliver Twist,live action
813,Air Strike,live action
814,Little Man,live action
815,Random Hearts,live action
816,Perfume: The Story of a Murderer,live action
817,Jurassic Park,animation/live action
818,Austin Powers in Goldmember,live action
819,Hop,animation/live action
820,American Assassin,live action
821,Wyatt Earp,live action
822,Clear and Present Danger,live action
823,U-571,live action
824,The American President,live action
825,The Hateful Eight,live action
826,The Love Guru,live action
827,3000 Miles to Graceland,live action
828,Gone Girl,live action
829,Blades of Glory,live action
830,Maze Runner: The Scorch Trials,live action
831,2 Guns,live action
832,Maze Runner: The Death Cure,live action
833,A Dog's Way Home,live action
834,Mei ren yu,live action
835,Meet the Fockers,live action
836,The Lego Movie,digital animation
837,Last Stand of the 300,animation/live action
838,Wild Hogs,live action
839,Marley & Me,live action
840,The Green Mile,live action
841,The Truman Show,live action
842,Sully,live action
843,The Bourne Identity,live action
844,Couples Retreat,live action
845,GoldenEye,live action
846,The Italian Job,live action
847,Daddy Day Care,live action
848,The General's Daughter,live action
849,The Prince of Egypt,hand animation
850,Collateral,live action
851,Cats & Dogs,live action
852,Two Weeks Notice,live action
853,Antz,digital animation
854,The Scorpion King,live action
855,RED,live action
856,Starsky & Hutch,live action
857,Days of Thunder,live action
858,Cheaper by the Dozen 2,live action
859,Eat Pray Love,live action
860,Jack Reacher,live action
861,Man on Fire,live action
862,The Family Man,live action
863,Contagion,live action
864,Any Given Sunday,live action
865,The Horse Whisperer,live action
866,Coraline,stop-motion animation
867,Ladder 49,live action
868,Deep Blue Sea,live action
869,Kangaroo Jack,live action
870,The Happening,live action
871,London Has Fallen,live action
872,Rules of Engagement,live action
873,The Shaggy Dog,live action
874,Jingle All the Way,live action
875,Hellboy,live action
876,Jack Reacher: Never Go Back,live action
877,Baywatch,live action
878,U.S. Marshals,live action
879,A Civil Action,live action
880,Joy,live action
881,ParaNorman,stop-motion animation
882,The Jackal,live action
883,Paycheck,live action
884,Up Close & Personal,live action
885,The Tale of Despereaux,digital animation
886,The Boxtrolls,stop-motion animation
887,The Dark Tower,live action
888,The Tuxedo,live action
889,Jack Ryan: Shadow Recruit,live action
890,Under Siege 2: Dark Territory,live action
891,Vice,Live Action
892,Alien: Resurrection,live action
893,Shooter,live action
894,Practical Magic,live action
895,Gangster Squad,live action
896,Smurfs: The Lost Village,digital animation
897,First Man,live action
898,Year One,live action
899,Edge of Darkness,live action
900,Star Trek: Nemesis,live action
901,Reign of Fire,animation/live action
902,Planet 51,digital animation
903,Duplicity,live action
904,Righteous Kill,live action
905,Invictus,live action
906,State of Play,live action
907,My Favorite Martian,live action
908,The Sentinel,live action
909,Trouble with the Curve,live action
910,Intolerable Cruelty,live action
911,The Relic,live action
912,Mercury Rising,live action
913,Almost Famous,live action
914,Cold Pursuit,live action
915,Analyze That,live action
916,The Soloist,live action
917,The Mortal Instruments: City of Bones,live action
918,The Legend of Bagger Vance,live action
919,Dragonfly,live action
920,Priest,live action
921,Garfield: A Tail of Two Kitties,animation/live action
922,xXx: State of the Union,live action
923,Event Horizon,live action
924,Sinbad: Legend of the Seven Seas,hand animation
925,Dark Water,live action
926,The Avengers,live action
927,The Black Dahlia,live action
928,Edtv,live action
929,The Spirit,live action
930,The Last Castle,live action
931,Supernova,live action
932,Flyboys,live action
933,Winter's Tale,live action
934,Holy Man,live action
935,Meet Dave,live action
936,The Great Raid,live action
937,Rock Dog,digital animation
938,Mortdecai,live action
939,Beyond Borders,live action
940,The Ridiculous 6,live action
941,Sherlock Gnomes,digital animation
942,The Kid Who Would Be King,live action
943,Deadpool,animation/live action
944,American Sniper,live action
945,Goosebumps,animation/live action
946,Rambo III,live action
947,Sabrina,live action
948,Red Tails,live action
949,Just Like Heaven,live action
950,The Internship,live action
951,The Flintstones in Viva Rock Vegas,live action
