prd_company,num_movies,com_dom_bo,com_wrld_bo
Radar Pictures,19,"$378,549,701","$1,047,010,999"
87Eleven Inc.,6,"$374,798,711","$713,149,928"
Trigger Street Productions,8,"$374,332,570","$996,333,807"
Radiant Productions,3,"$374,137,787","$900,293,475"
Brownstone,7,"$371,996,159","$659,963,961"
Ghost House Pictures,7,"$371,562,061","$669,355,295"
Tim Burton,7,"$370,227,774","$1,092,194,480"
HBO Films,12,"$369,323,308","$872,509,908"
Pariah Productions,12,"$369,182,502","$772,511,520"
TF1 Film Productions,29,"$368,616,343","$1,784,359,327"
7 Bucks Productions,3,"$366,769,609","$957,003,027"
Tall Trees,5,"$365,632,413","$711,395,772"
Douglas Wick,3,"$365,096,320","$810,892,716"
Olive Bridge Entertainment,6,"$363,987,257","$760,204,377"
China Film Company,8,"$359,059,989","$2,751,706,519"
Seed Productions,3,"$358,821,837","$828,649,315"
KatzSmith Productions,2,"$358,037,277","$745,233,267"
K/O Paper Products,5,"$357,337,072","$987,733,286"
Initial Entertainment Group,7,"$353,069,902","$760,022,235"
John Calley,2,"$350,911,984","$1,258,696,305"
22nd & Indiana,1,"$350,126,372","$547,326,372"
Huayi Brothers Pictures Ltd,12,"$349,346,114","$763,686,433"
Affirm Films,12,"$349,118,026","$391,935,374"
IM Global,44,"$344,718,979","$725,224,708"
Apatow Productions,9,"$343,589,627","$455,078,285"
Kerner Entertainment Company,5,"$341,637,932","$1,253,861,140"
Lego Systems A/S,3,"$340,838,447","$623,528,255"
Wonderland Sound and Vision,12,"$339,697,891","$768,722,628"
Mad Ghost Productions,3,"$335,061,807","$1,146,894,640"
Reuben Cannon Productions,7,"$334,770,632","$336,321,378"
Aardman Animations,8,"$332,685,255","$1,070,488,359"
Cannell Studios,2,"$330,167,004","$534,146,305"
Steve Tisch Productions,1,"$330,151,138","$679,850,637"
Beaglepug,3,"$327,794,414","$884,080,177"
American Zoetrope,13,"$326,189,927","$688,814,236"
Bonnie Arnold,2,"$326,111,159","$791,589,066"
Jack Giarraputo,2,"$324,971,441","$418,832,929"
Maximum Effect,1,"$324,591,735","$786,680,557"
Wild West Picture Show,5,"$321,078,245","$542,486,905"
Lucamar,3,"$319,637,775","$619,659,058"
Alcor Films,9,"$319,629,315","$481,129,315"
Callahan Filmworks,3,"$318,256,659","$488,115,912"
Duncan Henderson Productions,1,"$317,871,467","$975,047,606"
Black Label Media,11,"$317,300,017","$709,955,390"
Sidney Kimmel Entertainment,20,"$316,575,513","$577,063,385"
Arthur Sarkissian,3,"$315,706,339","$642,669,242"
Guber-Peters,2,"$314,938,879","$475,098,879"
Hyde Park Entertainment,18,"$313,663,269","$494,894,435"
Misher Films,11,"$313,428,319","$657,563,090"
Roger Birnbaum,4,"$311,439,538","$532,012,588"
Emmett/Furla Films,13,"$309,680,505","$559,725,032"
Chartoff Winkler Productions,5,"$309,504,363","$627,954,162"
Detective Agency,1,"$308,709,423","$781,139,244"
Bernd Eichinger,3,"$307,917,818","$644,005,490"
LD Entertainment,23,"$307,460,359","$414,526,055"
TPS Company,7,"$306,570,619","$312,558,646"
Mirage,9,"$306,009,811","$508,819,425"
B23,1,"$304,360,277","$1,110,526,981"
2Dux2,3,"$301,792,397","$729,666,354"
Film4,51,"$300,794,841","$1,035,614,719"
Flynn Picture Company,10,"$300,212,753","$1,153,045,719"
Laika,6,"$300,158,323","$563,364,770"
Fuzzy Door,3,"$300,142,125","$773,230,770"
Double Feature Films,11,"$298,535,978","$519,627,837"
Brad Grey,5,"$296,254,412","$510,044,849"
Flower Films,7,"$295,712,266","$615,921,150"
Pathe,49,"$294,716,649","$860,381,780"
Shangri-La Entertainment,6,"$293,695,373","$539,526,939"
Mayhem Pictures,6,"$291,298,205","$404,503,456"
Out of the Blue Entertainment,2,"$289,773,247","$399,910,818"
Le Grisbi,9,"$289,112,418","$538,961,445"
Lynda Obst Productions,3,"$289,062,382","$863,425,274"
Scholastic Entertainment Inc.,7,"$286,746,547","$835,161,867"
Neal H. Moritz,2,"$286,442,310","$473,712,310"
PolyGram Filmed Entertainment,11,"$282,265,579","$827,130,246"
Mark Canton,6,"$280,911,937","$748,266,008"
Steven Spielberg,3,"$276,936,489","$576,942,849"
Toho Co,15,"$276,119,299","$1,275,813,450"
Protozoa Pictures,10,"$274,697,173","$812,480,009"
Esperanto Filmoj,3,"$274,092,705","$694,803,766"
Offspring Entertainment,8,"$273,053,830","$726,321,708"
Red Granite Pictures,4,"$272,968,502","$448,356,447"
Vertigo Films,23,"$272,614,227","$669,222,452"
Firm Films,6,"$267,320,265","$474,528,845"
Exclusive Media Group,12,"$266,036,687","$597,308,455"
Forward Pass,4,"$265,903,393","$528,002,571"
Dark Castle Entertainment,12,"$265,758,065","$485,697,602"
Big Talk Pictures,13,"$264,793,759","$610,411,207"
Littlestar,2,"$264,764,998","$1,011,186,898"
Infinitum Nihil,7,"$263,699,720","$735,134,214"
Samuel Goldwyn Films,51,"$262,632,708","$561,912,146"
Stuber Pictures,6,"$262,266,111","$498,250,992"
Rat Entertainment,6,"$262,041,375","$522,448,332"
Nick Wechsler,7,"$259,774,149","$484,513,159"
Runteldat Entertainment,4,"$259,063,630","$426,362,070"
FilmDistrict,5,"$259,061,227","$496,924,902"
Sikelia Productions,8,"$258,528,659","$722,344,295"
See-Saw Films,17,"$256,765,870","$744,425,129"
TIK Films,6,"$255,319,342","$1,036,894,984"
Four by Two Films,4,"$255,074,726","$609,021,136"
Arad Productions,5,"$254,074,965","$1,021,542,504"
Moritz Borman,5,"$254,064,772","$679,259,169"
John Davis,2,"$254,014,499","$429,314,499"
Anton Capital Entertainment,19,"$253,902,058","$993,552,108"
Cold Springs Pictures,7,"$253,538,940","$566,025,287"
Hutch Parker,3,"$253,174,824","$841,732,430"
Room 101,6,"$251,728,023","$576,303,933"
Allison Shearmur,4,"$250,642,270","$621,841,937"
Endgame Entertainment,16,"$249,904,237","$530,945,599"
Tree Line Film,3,"$249,549,353","$517,630,690"
Bazmark,3,"$248,565,516","$680,383,388"
United Plankton Pictures,3,"$248,410,641","$453,064,436"
Darren Star,2,"$247,994,950","$709,928,036"
Robert Rehme,3,"$247,886,880","$504,780,938"
Katja Motion Picture Corporation,2,"$247,095,503","$598,020,129"
Zanuck/Brown,4,"$246,638,219","$455,638,219"
State Street Pictures,11,"$246,210,399","$273,975,632"
