movie_id,item_id,inv_exist,cluster_kmeans
tt0120587,.,0,19
tt0277296,.,0,18
tt1245526,.,0,19
tt0335438,.,0,19
tt0099371,.,0,6
tt0452598,.,0,7
tt0879870,.,0,23
tt0790724,.,0,13
tt0328107,.,0,21
tt0218967,.,0,6
tt1598778,.,0,18
tt0146838,.,0,6
tt0119314,.,0,6
tt0327597,.,0,21
tt0349710,.,0,13
tt0149261,.,0,19
tt0257568,.,0,19
tt0949731,.,0,19
tt3300542,.,0,1
tt0160797,.,0,23
tt0393735,.,0,7
tt0116705,.,0,7
tt0167190,.,0,6
tt3393786,.,0,18
tt1469304,.,0,19
tt0120873,.,0,6
tt0120633,.,0,6
tt2446980,.,0,13
tt1623288,.,0,18
tt0119395,.,0,6
tt0338337,.,0,23
tt0118055,.,0,6
tt0420238,.,0,7
tt0787474,.,0,18
tt1648190,.,0,19
tt0290095,.,0,13
tt1205537,.,0,13
tt0114781,.,0,13
tt6266538,.,0,10
tt0118583,.,0,13
tt0822854,.,0,23
tt0120791,.,0,23
tt1321870,.,0,1
tt2398241,.,0,7
tt1213641,.,0,21
tt1045778,.,0,23
tt1226273,.,0,23
tt0253754,.,0,7
tt0253556,.,0,13
tt0762125,.,0,23
tt1135487,.,0,23
tt1034331,.,0,1
tt1057500,.,0,6
tt0473705,.,0,23
tt0120764,.,0,7
tt0443632,.,0,13
tt2083383,.,0,23
tt0138524,.,0,23
tt0120004,.,0,11
tt0120749,.,0,23
tt0181875,.,0,21
tt0289848,.,0,13
tt0821642,.,0,23
tt1538403,.,0,1
tt0146984,.,0,23
tt0259288,.,0,23
tt0822847,.,0,7
tt0455499,.,0,7
tt0329774,.,0,13
tt0165982,.,0,23
tt0382628,.,0,23
tt0118661,.,0,13
tt0387877,.,0,23
tt0131369,.,0,23
tt0831887,.,0,1
tt0272020,.,0,23
tt0134983,.,0,13
tt0454824,.,0,13
tt1837709,.,0,1
tt0120701,.,0,23
tt0765476,.,0,23
tt0326905,.,0,11
tt2822672,.,0,7
tt3045616,.,0,23
tt0294357,.,0,13
tt2296777,.,0,23
tt1431045,I-1068,1,2
tt2179136,I-1045,1,9
tt1051904,.,0,18
tt0095956,.,0,19
tt0114319,.,0,6
tt0485985,.,0,13
tt0425123,.,0,23
tt2234155,.,0,23
tt0158622,.,0,7
tt0379865,.,0,1
tt5442430,.,0,13
tt1314228,.,0,13
tt1000774,.,0,19
tt1220634,.,0,1
tt1232200,.,0,7
tt0118971,.,0,21
tt0116136,.,0,6
tt0367479,.,0,23
tt0238112,.,0,23
tt2180411,.,0,18
tt0305224,.,0,19
tt0395699,.,0,19
tt0351977,.,0,13
tt0109830,.,0,2
tt0952640,.,0,19
tt1727824,I-1104,1,2
tt0386588,.,0,19
tt0212338,.,0,19
tt0454921,.,0,21
tt0114148,.,0,6
tt0078346,.,0,6
