antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"['I-1006', 'I-1042', 'I-1043', 'I-1045']",['I-1044'],0.12016070124178233,0.44448502556610664,0.10299488677867057,0.8571428571428572,1.9283953515670855,0.049585254415175646,3.8886048210372555
"['I-1013', 'I-1044', 'I-1012', 'I-1006']",['I-1045'],0.12016070124178233,0.44485025566106645,0.10299488677867057,0.8571428571428572,1.9268121041520059,0.04954136811085067,3.886048210372536
"['I-1013', 'I-1044', 'I-1042', 'I-1012']",['I-1045'],0.11760409057706354,0.44485025566106645,0.10080350620891161,0.8571428571428572,1.9268121041520059,0.04848729644891768,3.886048210372536
"['I-1013', 'I-1012', 'I-1045', 'I-1006']",['I-1044'],0.12016070124178233,0.44448502556610664,0.10299488677867057,0.8571428571428572,1.9283953515670855,0.049585254415175646,3.8886048210372555
"['I-1016', 'I-1042', 'I-1043', 'I-1045']",['I-1044'],0.12235208181154127,0.44448502556610664,0.10482103725346968,0.8567164179104477,1.927435950894664,0.05043736904140039,3.8770315924032133
"['I-1013', 'I-1043', 'I-1010', 'I-1045']",['I-1044'],0.11943024105186267,0.44448502556610664,0.10226442658875091,0.8562691131498471,1.926429607070075,0.049179472841447455,3.8649658859549607
"['I-1044', 'I-1043', 'I-1012', 'I-1041']",['I-1045'],0.1168736303871439,0.44485025566106645,0.10007304601899196,0.85625,1.9248050082101806,0.04808178166123401,3.861911264966493
"['I-1008', 'I-1013', 'I-1010', 'I-1045']",['I-1012'],0.1168736303871439,0.42111029948867784,0.10007304601899196,0.85625,2.03331526452732,0.05085635652433275,4.0270587861657186
"['I-1008', 'I-1016', 'I-1010', 'I-1045']",['I-1013'],0.1168736303871439,0.40540540540540543,0.10007304601899196,0.85625,2.112083333333333,0.052691844510690374,4.136310223266743
"['I-1008', 'I-1013', 'I-1010', 'I-1045']",['I-1016'],0.1168736303871439,0.40175310445580714,0.10007304601899196,0.85625,2.131284090909091,0.05311870218193634,4.161717534220471
"['I-1013', 'I-1043', 'I-1006', 'I-1016']",['I-1044'],0.1168736303871439,0.44448502556610664,0.10007304601899196,0.85625,1.9263866064092028,0.0481244674283586,3.864451996061866
"['I-1008', 'I-1010', 'I-1012', 'I-1045']",['I-1013'],0.1168736303871439,0.40540540540540543,0.10007304601899196,0.85625,2.112083333333333,0.052691844510690374,4.136310223266743
"['I-1044', 'I-1007', 'I-1012', 'I-1010']",['I-1045'],0.11906501095690285,0.44485025566106645,0.10189919649379109,0.8558282208588958,1.9238568708634292,0.04893309592932518,3.8506131203083487
"['I-1010', 'I-1043', 'I-1012', 'I-1045']",['I-1044'],0.11906501095690285,0.44448502556610664,0.10189919649379109,0.8558282208588958,1.9254376899849275,0.048976582054583356,3.8531464184138153
"['I-1016', 'I-1012', 'I-1045', 'I-1007']",['I-1044'],0.12381300219138057,0.44448502556610664,0.10591672753834916,0.855457227138643,1.9246030303250654,0.05088370209389695,3.8432566598589757
"['I-1044', 'I-1043', 'I-1016', 'I-1041']",['I-1045'],0.1212563915266618,0.44485025566106645,0.10372534696859022,0.8554216867469879,1.9229430035412587,0.04978441019741634,3.839785731677623
"['I-1044', 'I-1010', 'I-1016', 'I-1007']",['I-1045'],0.11869978086194302,0.44485025566106645,0.10153396639883126,0.8553846153846154,1.9228596690665658,0.04873033853548335,3.8388014236202856
"['I-1016', 'I-1013', 'I-1042', 'I-1045']",['I-1044'],0.11869978086194302,0.44448502556610664,0.10153396639883126,0.8553846153846154,1.9244396687946401,0.048773691267719264,3.8413269508726677
"['I-1016', 'I-1010', 'I-1045', 'I-1007']",['I-1044'],0.11869978086194302,0.44448502556610664,0.10153396639883126,0.8553846153846154,1.9244396687946401,0.048773691267719264,3.8413269508726677
"['I-1013', 'I-1044', 'I-1043', 'I-1016']",['I-1045'],0.12344777209642074,0.44485025566106645,0.10555149744338933,0.8550295857988166,1.922061581212775,0.0506357244655075,3.8294002772767257
"['I-1013', 'I-1016', 'I-1043', 'I-1045']",['I-1044'],0.12344777209642074,0.44448502556610664,0.10555149744338933,0.8550295857988166,1.9236409251578963,0.05068081130703285,3.8319196195644087
"['I-1044', 'I-1043', 'I-1012', 'I-1007']",['I-1045'],0.1183345507669832,0.44485025566106645,0.10116873630387144,0.8549382716049383,1.9218563117030552,0.04852758114164152,3.826989726932223
"['I-1013', 'I-1012', 'I-1045', 'I-1006']",['I-1016'],0.12016070124178233,0.40175310445580714,0.10262965668371074,0.8541033434650456,2.125940867642995,0.05435472192623793,4.100483929875821
"['I-1013', 'I-1042', 'I-1043', 'I-1045']",['I-1044'],0.12016070124178233,0.44448502556610664,0.10262965668371074,0.8541033434650456,1.9215570701785496,0.04922002432021582,3.8075922205989774
"['I-1006', 'I-1010', 'I-1012', 'I-1007']",['I-1016'],0.11760409057706354,0.40175310445580714,0.10043827611395179,0.8540372670807453,2.125776397515528,0.05319046762791457,4.098627667345322
"['I-1013', 'I-1010', 'I-1012', 'I-1006']",['I-1016'],0.11760409057706354,0.40175310445580714,0.10043827611395179,0.8540372670807453,2.125776397515528,0.05319046762791457,4.098627667345322
"['I-1016', 'I-1043', 'I-1012', 'I-1045']",['I-1044'],0.12235208181154127,0.44448502556610664,0.10445580715850986,0.8537313432835821,1.920720146187714,0.05007213894644057,3.7979084986807012
"['I-1044', 'I-1043', 'I-1012', 'I-1016']",['I-1045'],0.12235208181154127,0.44485025566106645,0.10445580715850986,0.8537313432835821,1.9191432002548834,0.050027452283982005,3.7954115174192404
