movie_id,prd_company
tt1355644,"Columbia Pictures, LStar Capital, Village Roadshow Productions, Wanda Media, Original Film, Company Films, Start Motion Pictures"
tt0990407,Original Film
tt1935859,"Twentieth Century Fox, Chernin Entertainment, Big Screen Prods, TSG Entertainment"
tt0433035,"DreamWorks Pictures, Reliance BIG Entertainment, 21 Laps Entertainment, Montford Murphy"
tt2283336,"Amblin Entertainment, Parkes+Macdonald Productions, Columbia Pictures, Tencent Pictures , Image Nation"
tt0429493,"20th Century Fox, Dune Entertainment, Stephen J. Cannell, Top Cow, Scott Free Films"
tt2017020,"Columbia Pictures, Sony Pictures Animation, Hemisphere Media Capital, Kerner Entertainment Company"
tt1111422,"Columbia Pictures, Metro-Goldwyn-Mayer Pictures, Relativity Media, Scott Free Films, Escape Artists"
tt1731141,"Summit Entertainment, OddLot Entertainment, Chartoff Productions, Inc., Taleswapper, K/O Paper Products, Digital Domain"
tt0299172,.
tt0120179,.
tt0320661,Twentieth Century Fox
tt1219827,"DreamWorks Pictures, Paramount Pictures, Reliance Entertainment, Arad Productions"
tt0327437,.
tt0120737,"New Line Cinema, WingNut Films"
tt0312528,"DreamWorks Pictures, Universal Pictures, Imagine Entertainment, Brian Grazer Productions"
tt0248667,"Initial Entertainment Group, Columbia Pictures, Peters Entertainment, Forward Pass, Lee Caplin, Picture Entertainment Corporation"
tt3659388,"Scott Free Films, Kinberg Genre"
tt3640424,"Paramount Pictures, GK Films"
tt0343818,"20th Century Fox, David Entertainment Company, Lawrence Mark, Overbrook Entertainment, Mediastream IV"
tt0164912,"Douglas Wick, Franklin/Waterman, Columbia Pictures"
tt0780521,"Walt Disney Pictures, Walt Disney Animation Studios"
tt0443649,"Centropolis Entertainment, Legendary Pictures, Warner Bros."
tt3416828,"20th Century Fox Animation, Blue Sky Studios"
tt0141907,"Sidney Kimmel Entertainment, Simon Fields Productions"
tt4649466,"20th Century Fox, MARV Films"
tt0187078,"Touchstone Pictures, Jerry Bruckheimer"
tt0172495,"DreamWorks Pictures, Universal Pictures, Douglas Wick, Scott Free Films"
tt1620680,"Walt Disney Pictures, Whitaker Entertainment"
tt1152836,"Universal Pictures, Relativity Media, Forward Pass, Misher Films, Tribeca Film, Appian Way"
tt0381061,"Eon Productions, Metro-Goldwyn-Mayer Pictures, Columbia Pictures"
tt0181689,"20th Century Fox, DreamWorks Pictures, Cruise-Wagner, Blue Tulip, Ronald Shusett, Gary Goldman"
tt4701182,"di Bonaventura Pictures, Paramount Pictures, Hasbro Studios, Bay Films"
tt1371111,"Warner Bros., Cloud Atlas X-Filme Creative Pool Anarchos, A Company, ARD/Degeto"
tt0295297,"Warner Bros., Heyday Films, 1492 Pictures"
tt0103064,Carolco Pictures
tt0112462,Warner Bros.
tt0133152,APJAC Productions
tt0368891,"Walt Disney Pictures, Jerry Bruckheimer, Junction Entertainment, Saturn Films"
tt1853728,"Weinstein Company, Columbia Pictures, A Band Apart"
tt8579674,"Dreamworks LLC, Neal Street, New Republic Pictures, Reliance Entertainment, Amblin Partners"
tt0970866,"Everyman Pictures, Tribeca Film, Relativity Media"
tt0111503,Lightstorm Entertainment
tt0765429,"Relativity Media, Imagine Entertainment"
tt0844471,"Columbia Pictures, Sony Pictures Animation"
tt1386588,"Gary Sanchez Productions, Mosaic Media, Sony Pictures"
tt0339291,"Paramount Pictures, DreamWorks Pictures, Parkes+Macdonald Productions, Nikelodeon Movies"
tt0993846,"Appian Way, Sikelia Productions, Emjag"
tt0848537,Blue Sky Studios
tt0116213,Warner Bros.
tt0116583,Walt Disney Animation Studios
tt0120917,Walt Disney Animation Studios
tt1764651,"Lionsgate, Millennium Films, Nu Image"
tt0386117,"Legendary Pictures, Village Roadshow Productions, Warner Bros."
tt0449010,Davis Entertainment
tt1267297,"Walt Disney Pictures, Walt Disney Feature Animation"
tt1243957,"StudioCanal, Birnbaum/Barber, GK Films, Spyglass Entertainment"
tt0146675,Beacon Pictures
tt5814534,Blue Sky/Chernin Entertainment
tt0327162,"Paramount Pictures, DreamWorks Pictures, DeLine Pictures"
tt0423294,Sony Pictures Animation
tt0450259,"Initial Entertainment Group, Virtual Studios, Spring Creek Prod, Bedford Falls"
tt6924650,"Providence Film Partners, Centropolis Entertainment, Entertainment One, Lionsgate, Shanghai Ruyi Entertainment, Beijing Universe Starlight Culture Media Company, Street Entertainment   , AGC"
tt1219342,"Animal Logic, Village Roadshow Productions"
tt0120201,"TriStar Pictures, Touchstone Pictures, Jon Davison Productions"
tt0457400,Universal Pictures
tt0316396,F. D. Bedford
tt6428676,"Paramount Animation, Nickelodeon Films, Ilion Animation Studios, Midnight Radio Productions"
tt0327554,Village Roadshow Productions
tt2333784,"Nu Image, Millennium Films"
tt0133240,Walt Disney Pictures
tt0947810,"Universal Pictures, Working Title Films"
tt1981128,"Skydance Productions, Electric Entertainment"
tt2058673,"Alcon Entertainment, DMG Entertainment, Taylor-Baldecchi-Wimmer, Studio Babelsberg"
