movie_id,release_date,genre,country,language
tt0325710,05-Dec-03,"Action, Drama, War","USA, New Zealand, Japan",english
tt0369441,21-Dec-05,"Comedy, Crime",USA,english
tt1528100,12-Dec-14,"Action, Drama, Fantasy","UK, Spain, USA",english
tt3691740,01-Jul-16,"Adventure, Family, Fantasy","USA, India, UK",english
tt1025100,11-Oct-19,"Action, Drama, Sci-Fi, Thriller","USA, China",english
tt2404233,26-Feb-16,"Action, Adventure, Fantasy","USA, Australia, China",english
tt1745960,26-Jun-20,"Action, Drama","USA, Hong Kong",english
tt0145487,03-May-02,"Action, Adventure, Sci-Fi",USA,english
tt0409459,06-Mar-09,"Action, Drama, Mystery, Sci-Fi",USA,english
tt0382992,29-Jul-05,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt0800080,13-Jun-08,"Action, Adventure, Sci-Fi",USA,english
tt0286716,20-Jun-03,"Action, Sci-Fi",USA,english
tt0173840,11-Jul-01,"Animation, Action, Adventure, Fantasy, Romance, Sci-Fi","USA, Japan",english
tt1673434,16-Nov-12,"Adventure, Drama, Fantasy, Romance",USA,english
tt0481499,22-Mar-13,"Animation, Action, Adventure, Comedy, Family, Fantasy",USA,english
tt1663202,08-Jan-16,"Action, Adventure, Biography, Drama, History, Western","USA, Hong Kong, Taiwan",english
tt0143145,19-Nov-99,"Action, Adventure, Thriller","UK, USA",english
tt1192628,04-Mar-11,"Animation, Adventure, Comedy, Family, Western",USA,english
tt0311113,14-Nov-03,"Action, Adventure, Drama, History, War",USA,english
tt1860353,17-Jul-13,"Animation, Adventure, Comedy, Family, Sci-Fi, Sport",USA,english
tt3949660,03-Jun-16,"Action, Adventure, Comedy, Sci-Fi","USA, Hong Kong, China, Canada, Denmark, Germany, UK",english
tt1402488,18-Nov-11,"Animation, Adventure, Comedy, Family, Musical","Australia, USA",english
tt0430357,28-Jul-06,"Action, Crime, Thriller",USA,english
tt5523010,02-Nov-18,"Adventure, Family, Fantasy",USA,english
tt0407304,29-Jun-05,"Adventure, Sci-Fi, Thriller",USA,english
tt1911658,26-Nov-14,"Animation, Adventure, Comedy, Family, Sci-Fi",USA,english
tt1951264,22-Nov-13,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt0304141,04-Jun-04,"Adventure, Family, Fantasy, Mystery","UK, USA",english
tt0440963,03-Aug-07,"Action, Mystery, Thriller","USA, Germany, France, Spain",english
tt5095030,06-Jul-18,"Action, Adventure, Comedy, Sci-Fi",USA,english
tt0441773,06-Jun-08,"Animation, Action, Adventure, Comedy, Family",USA,english
tt0478970,17-Jul-15,"Action, Adventure, Comedy, Sci-Fi",USA,english
tt2224026,27-Mar-15,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",USA,english
tt5028340,19-Dec-18,"Comedy, Family, Fantasy, Musical","USA, UK",english
tt0448694,28-Oct-11,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt1001526,05-Nov-10,"Animation, Action, Comedy, Family, Sci-Fi",USA,english
tt0172156,18-Jul-03,"Action, Comedy, Crime, Thriller",USA,english
tt2357291,11-Apr-14,"Animation, Adventure, Comedy, Family, Musical",USA,english
tt0944835,23-Jul-10,"Action, Mystery, Thriller",USA,english
tt1959490,28-Mar-14,"Action, Adventure, Drama, Romance, Thriller",USA,english
tt0983193,21-Dec-11,"Animation, Action, Adventure, Family, Mystery","USA, New Zealand, UK",english
tt1815862,31-May-13,"Action, Adventure, Sci-Fi",USA,english
tt0455824,26-Nov-08,"Adventure, Comedy, Drama, Romance, War, Western","UK, Australia, USA",english
tt0790736,19-Jul-13,"Action, Comedy, Crime, Fantasy",USA,english
tt2386490,22-Feb-19,"Animation, Action, Adventure, Family, Fantasy","USA, Japan",english
tt1324999,18-Nov-11,"Action, Adventure, Drama, Fantasy, Romance, Thriller",USA,english
tt0130623,19-May-00,"Animation, Adventure, Family, Thriller",USA,english
tt3315342,03-Mar-17,"Action, Drama, Sci-Fi, Thriller",USA,english
tt2692250,19-Dec-14,"Adventure, Comedy, Family, Fantasy","UK, USA",english
tt1951265,21-Nov-14,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt0241527,16-Nov-01,"Adventure, Family, Fantasy","UK, USA",english
tt7975244,13-Dec-19,"Action, Adventure, Comedy, Fantasy",USA,english
tt0382625,19-May-06,"Action, Mystery, Thriller","USA, Malta, France, UK","english, french, latin, spanish"
tt1596343,29-Apr-11,"Action, Adventure, Thriller",USA,english
tt1291150,08-Aug-14,"Action, Adventure, Comedy, Sci-Fi",USA,english
tt1515091,16-Dec-11,"Action, Adventure, Crime, Mystery, Thriller","USA, UK",english
tt0319262,28-May-04,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt3874544,31-Mar-17,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt0800320,02-Apr-10,"Action, Adventure, Fantasy","USA, UK, Australia",english
tt1679335,04-Nov-16,"Animation, Adventure, Comedy, Family, Fantasy, Musical",USA,english
tt0120685,20-May-98,"Action, Sci-Fi, Thriller","USA, Japan",english
tt1446714,08-Jun-12,"Adventure, Mystery, Sci-Fi","USA, UK",english
tt1194173,10-Aug-12,"Action, Adventure, Thriller","USA, Japan",english
tt0118688,20-Jun-97,"Action, Sci-Fi","USA, UK",english
tt5758778,13-Jul-18,"Action, Adventure, Thriller","Hong Kong, USA",english
tt1386703,03-Aug-12,"Action, Adventure, Sci-Fi, Thriller","USA, Canada",english
