,title,prd_company
366,The Wedding Planner,Intermedia
367,Dawn of the Dead,.
368,Timecop,"Largo Entertainment, Renaissance Pictures, Dark Horse Entertainment"
369,Hocus Pocus,Walt Disney Pictures
370,We Own the Night,2929 Productions
371,Lost Souls,Castle Rock Entertainment
372,A Simple Wish,The Bubble Factory
373,Kundun,"Touchstone Pictures, StudioCanal"
374,Alatriste,.
375,A Passage to India,"Thorn EMI, HBO"
376,Rendition,"Level 1 Entertainment, Anonymous Content"
377,Star Trek VI: The Undiscovered Country,.
378,The Jungle Book,"Baloo Productions, Jungle Book Films, Walt Disney Pictures"
379,Lake Placid,"Fox 2000 Pictures, Phoenix Pictures"
380,The Right Stuff,The Ladd Company
381,Dark City,.
382,The Honeymooners,.
383,Return to Oz,"Walt Disney Pictures, Silver Screen Partners II"
384,The Newton Boys,.
385,Suspect Zero,"Columbia Pictures, Intermedia Films, Lakeshore Entertainment, Cruise/Wagner Productions"
386,Martian Child,.
387,What Just Happened,.
388,The Statement,.
389,The Magic Flute,Sveriges Radio/TV2/AB Svensk
390,Kindergarten Cop,Imagine Entertainment
391,Ever After: A Cinderella Story,Fox Family Films
392,Flatliners,Stonebridge Entertainment
393,Open Range,.
394,A Bridge Too Far,.
395,Final Destination 2,Zide/Perry Productions
396,Silverado,.
397,Agent Cody Banks 2: Destination London,"Maverick Films, Metro-Goldwyn-Mayer"
398,Welcome to Mooseport,Intermedia Films
399,Flipper,The Bubble Factory
400,Rain Man,"Guber-Peters Company, Star Partners II, Ltd."
401,"Legally Blonde 2: Red, White & Blonde","Type A Films, Marc Platt Productions, Metro-Goldwyn-Mayer"
402,Scooby-Doo 2: Monsters Unleashed,Mosaic Media Group
403,Freddy vs. Jason,"New Line Cinema, Crystal Lake Entertainment"
404,Jimmy Neutron: Boy Genius,"Nickelodeon Movies, O Entertainment, DNA Productions"
405,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"Golden Harvest, Mirage Enterprises"
406,The Untouchables,.
407,Tombstone,"Hollywood Pictures, Cinergi Pictures"
408,Romeo Must Die,Silver Pictures
409,The Omen,Mace Neufeld Productions
410,Final Destination 3,"Hard Eight Pictures, Zide/Perry Productions"
411,Cobra,The Cannon Group
412,Goodfellas,.
413,Nothing to Lose,"Touchstone Pictures, O Entertainment"
414,The Beverly Hillbillies,"Filmways Television, CBS Television Network"
415,The Hours,.
416,Money Talks,New Line Cinema
417,There Will Be Blood,Ghoulardi Film Company
418,The Wild Thornberrys Movie,Klasky Csupo
419,Rugrats Go Wild,"Nickelodeon Movies, Klasky Csupo"
420,The Sisterhood of the Traveling Pants,"Alcon Entertainment, Di Novi Pictures, Alloy Entertainment"
421,Undercover Brother,Imagine Entertainment
422,Kiss of the Dragon,"StudioCanal, EuropaCorp"
423,Beauty Shop,Metro-Goldwyn-Mayer
