,title,re_title,prd_mthd
72,Unbroken: Path to Redemption,Unbroken-Path-to-Redemption,Live Action
73,Only the Strong,Only-the-Strong,","
74,Morvern Callar,Morvern-Callar,","
75,The Flower of Evil,Flower-of-Evil-The,","
76,Men of War,Men-of-War,","
77,Planet of the Apes,Planet-of-the-Apes,","
78,Comedy-Finance in Front of the Train,Comedy-Finance-in-Front-of-the-Train,.
79,Foolproof,Foolproof,","
80,Khiladi 786,Khiladi-786,","
81,[Rec] 2: En un mundo de infectados,Rec-2,.
82,Galaxina,Galaxina,","
83,Wilson,Wilson,","
84,The Return of the Pink Panther,Return-of-the-Pink-Panther-The,","
