votes
"162,160"
"37,333"
"40,301"
"870,241"
"321,244"
"151,295"
"221,237"
"286,711"
"189,130"
"281,932"
"430,117"
"89,476"
"419,084"
"254,579"
"447,739"
"68,517"
"51,615"
"123,440"
"87,042"
"587,466"
"99,968"
"154,304"
"50,855"
"109,612"
"115,418"
"117,923"
"376,936"
"243,553"
"122,541"
"125,853"
"181,678"
"58,027"
"168,648"
"201,458"
"141,089"
"131,615"
"725,528"
"272,538"
"141,430"
"188,613"
"123,148"
"134,693"
"38,962"
"51,356"
"39,173"
"393,120"
"99,356"
"92,437"
"171,921"
"240,083"
"164,104"
"102,918"
"96,122"
"202,495"
"41,634"
"62,817"
"23,766"
"88,154"
229
"149,411"
"123,655"
"1,109,842"
"133,716"
"204,686"
"43,652"
"83,587"
"276,911"
"93,509"
"9,401"
"174,318"
"102,391"
"31,381"
"64,604"
"59,062"
"20,311"
"67,634"
"164,516"
"101,613"
"75,671"
"40,958"
"111,996"
15
"103,215"
"122,298"
"60,329"
"23,956"
"226,393"
"34,298"
"89,968"
"118,576"
"92,989"
"11,478"
"80,189"
"33,509"
"59,667"
"109,038"
"49,681"
"56,273"
"80,725"
"22,308"
"151,097"
"69,704"
"42,486"
"69,155"
"27,808"
"55,615"
"13,482"
"47,450"
"12,410"
"5,249"
"29,894"
"13,751"
"78,184"
"99,325"
"37,570"
"82,341"
"41,176"
"87,648"
"16,071"
"13,915"
"23,649"
"12,621"
"70,936"
"26,270"
"184,669"
"21,536"
"59,040"
"18,891"
"18,006"
"185,290"
"37,599"
"43,157"
"95,527"
"44,357"
"31,435"
"16,236"
"54,178"
"22,176"
"9,878"
"21,096"
"11,614"
"41,872"
"20,879"
"12,228"
"49,041"
"19,252"
"10,133"
"37,459"
"139,383"
"53,272"
"33,862"
"3,707"
"16,932"
0
"49,590"
"8,071"
"5,245"
0
"263,581"
"225,146"
"74,233"
"20,011"
"7,493"
"2,764"
"24,132"
"22,583"
"21,858"
"4,033"
"10,327"
"70,363"
40
"135,811"
"61,644"
"36,362"
"92,772"
"20,682"
"275,375"
"141,459"
"6,550"
"331,466"
"97,994"
"195,086"
"72,559"
"23,415"
"32,348"
"94,986"
"107,517"
"116,537"
"87,874"
"148,850"
"49,737"
"37,494"
"94,173"
"102,540"
"407,118"
"21,701"
"9,687"
"50,758"
"16,420"
"116,099"
"39,516"
"8,934"
"20,345"
"60,787"
"11,856"
"44,328"
"5,317"
7357
"67,364"
"141,858"
"19,054"
"404,248"
"384,305"
"234,594"
"332,984"
"21,423"
"181,910"
"295,229"
"155,539"
"32,267"
"77,128"
"83,035"
"87,721"
"10,334"
"277,521"
"58,043"
"295,859"
"118,392"
"71,136"
"57,924"
"156,889"
"46,304"
"7,872"
"84,088"
"43,248"
"36,106"
"13,356"
"9,617"
"268,844"
"2,204"
33
"9,202"
"17,494"
"420,881"
"686,734"
"276,730"
"323,942"
"209,247"
"293,533"
"150,296"
"228,047"
"118,943"
"350,144"
"407,937"
"103,070"
"125,031"
"145,534"
"77,541"
"220,067"
"160,456"
"160,554"
"170,372"
"20,535"
"38,706"
"121,642"
"507,437"
"74,494"
"36,776"
"88,463"
"91,999"
"71,194"
"46,634"
"25,267"
"149,898"
"326,223"
"107,769"
"59,570"
"36,904"
"109,259"
"35,224"
"78,577"
"53,143"
"14,925"
"57,771"
"29,580"
"36,853"
"262,630"
"119,226"
"237,749"
"95,458"
"55,540"
"9,586"
"354,607"
"47,010"
"118,449"
"19,491"
"56,926"
"46,062"
"81,183"
"88,413"
"194,809"
"63,275"
"36,446"
"678,230"
"110,997"
"142,242"
251
"99,153"
"65,523"
"50,710"
"45,935"
"139,444"
"73,965"
"47,625"
"61,135"
"56,792"
"31,418"
"61,303"
"35,583"
"63,276"
"31,819"
"20,526"
"47,357"
"58,925"
"82,576"
"96,542"
"87,025"
"107,012"
"73,131"
"19,935"
"59,648"
"29,552"
"63,930"
"31,598"
"15,108"
"108,465"
"57,382"
"10,164"
"46,136"
"6,048"
"160,922"
"13,425"
"27,861"
"17,641"
"31,271"
"55,228"
"56,975"
"13,187"
"36,354"
"30,406"
"113,709"
"220,789"
"25,543"
"58,424"
"16,553"
"84,439"
"86,237"
"53,647"
"32,292"
"2,625"
"14,333"
37
"11,900"
"37,718"
"13,183"
526
"12,976"
"12,498"
"41,988"
"40,182"
"32,923"
0
238
"56,147"
"397,231"
"398,113"
"72,818"
"46,584"
"25,206"
"9,004"
"51,382"
"4,218"
"19,619"
"221,340"
"77,737"
"31,031"
"77,844"
"52,176"
"128,180"
"145,426"
"24,720"
"14,286"
"98,968"
"70,415"
"27,500"
"10,292"
"257,070"
"221,869"
"45,522"
"70,347"
"207,088"
"72,321"
"370,080"
"24,282"
"77,950"
"81,830"
"55,131"
"464,956"
"62,115"
"103,306"
"43,684"
"24,343"
"47,796"
"187,884"
"30,044"
"11,656"
"23,301"
"215,356"
"68,873"
"80,916"
"21,272"
"112,333"
"55,435"
"60,810"
"97,916"
"23,103"
"5,914"
"6,613"
"8,585"
"23,319"
"3,514"
"571,355"
55760
"2,804"
"79,993"
"311,414"
"34,098"
"67,559"
"85,156"
"661,467"
"91,519"
"60,259"
"96,863"
"34,834"
"15,893"
"72,820"
"336,747"
"834,822"
"119,244"
"206,941"
"190,847"
"230,139"
"177,315"
"313,599"
"169,046"
"104,727"
"189,221"
"618,557"
"219,266"
"123,269"
"193,053"
"120,521"
"141,145"
"40,318"
"605,093"
"1,346,799"
"400,135"
"60,696"
"307,888"
"492,343"
"37,893"
"148,454"
"10,548"
"173,253"
"15,030"
"128,190"
"138,272"
"514,490"
"212,738"
"119,232"
"25,310"
"20,981"
"112,060"
"39,324"
"253,457"
"55,967"
"18,955"
"40,314"
"23,396"
"96,896"
"42,812"
"365,682"
