movie_id,prd_mthd
tt0112384,live action
tt0133093,live action
tt5220122,digital animation
tt1707386,live action
tt0304669,live action
tt0100802,live action
tt0128853,live action
tt1809398,live action
tt3079380,live action
tt1231583,live action
tt0838283,live action
tt0113497,live action
tt0120746,live action
tt0186566,live action
tt1823664,live action
tt0106582,live action
tt2788732,.
tt0115759,live action
tt0469641,live action
tt0219854,live action
tt0304415,live action
tt1645170,live action
tt0120663,live action
tt1596350,live action
tt2381941,live action
tt0359013,live action
tt1234719,live action
tt0758794,live action
tt2719848,live action
tt1855325,live action
tt6095472,digital animation
tt0119942,live action
tt0137523,live action
tt0452608,live action
tt0116908,live action
tt0228750,live action
tt0406375,animation/live action
tt0338188,live action
tt0357277,live action
tt0375568,digital animation
tt1418377,live action
tt0102070,live action
tt10597946,live action
tt0458481,live action
tt2361317,live action
tt0219952,live action
tt0380599,live action
tt4743226,live action
tt0430304,live action
tt0156934,live action
tt0396171,live action
tt0107290,animation/live action
tt0295178,live action
tt1411704,animation/live action
tt1961175,live action
tt0111756,live action
tt0109444,live action
tt0141926,live action
tt0112346,live action
tt3460252,live action
tt0811138,live action
tt0233142,live action
tt2267998,live action
tt0445934,live action
tt4046784,live action
tt1272878,live action
tt4500922,live action
tt7616798,live action
tt4701660,live action
tt0290002,live action
tt1490017,digital animation
tt0892737,animation/live action
tt0486946,live action
tt0822832,live action
tt0120689,live action
tt0120382,live action
tt3263904,live action
tt0258463,live action
tt1078940,live action
tt0113189,live action
tt0317740,live action
tt0317303,live action
tt0144214,live action
tt0120794,hand animation
tt0369339,live action
tt0239395,live action
tt0313737,live action
tt0120587,digital animation
tt0277296,live action
tt1245526,live action
tt0335438,live action
tt0099371,live action
tt0452598,live action
tt0879870,live action
tt0790724,live action
tt0328107,live action
tt0218967,live action
tt1598778,live action
tt0146838,live action
tt0119314,live action
tt0327597,stop-motion animation
tt0349710,live action
tt0149261,live action
tt0257568,live action
tt0949731,live action
tt3300542,live action
tt0160797,live action
tt0393735,live action
tt0116705,live action
tt0167190,live action
tt3393786,live action
tt1469304,live action
tt0120873,live action
tt0120633,live action
tt2446980,live action
tt1623288,stop-motion animation
tt0119395,live action
tt0338337,live action
tt0118055,live action
tt0420238,digital animation
tt0787474,stop-motion animation
tt1648190,live action
tt0290095,live action
tt1205537,live action
tt0114781,live action
tt6266538,Live Action
tt0118583,live action
tt0822854,live action
tt0120791,live action
tt1321870,live action
tt2398241,digital animation
tt1213641,live action
tt1045778,live action
tt1226273,live action
tt0253754,live action
tt0253556,animation/live action
tt0762125,digital animation
tt1135487,live action
tt1034331,live action
tt1057500,live action
tt0473705,live action
tt0120764,live action
tt0443632,live action
tt2083383,live action
tt0138524,live action
tt0120004,live action
tt0120749,live action
tt0181875,live action
tt5719748,live action
tt0289848,live action
tt0821642,live action
tt1538403,live action
tt0146984,live action
tt0259288,live action
tt0822847,live action
tt0455499,animation/live action
tt0329774,live action
tt0119081,live action
tt0165982,hand animation
tt0382628,live action
tt0118661,live action
tt0387877,live action
tt0131369,live action
tt0831887,live action
tt0272020,live action
tt0134983,live action
tt0454824,live action
tt1837709,live action
tt0120701,live action
tt0765476,live action
tt0326905,live action
tt2822672,digital animation
tt3045616,live action
tt0294357,live action
tt2479478,live action
tt2296777,digital animation
tt6811018,live action
tt1431045,animation/live action
tt2179136,live action
tt1051904,animation/live action
tt0095956,live action
tt0114319,live action
tt0485985,live action
tt0425123,live action
tt2234155,live action
tt0158622,live action
tt0379865,live action
tt5442430,live action
tt1314228,live action
tt1000774,live action
tt1220634,live action
tt1232200,live action
tt0118971,live action
tt5280288,live action
tt0116136,animation/live action
tt0367479,live action
tt0238112,live action
tt2180411,animation/live action
tt0305224,live action
tt0395699,live action
tt0351977,live action
tt7286456,live action
tt0109830,live action
tt0952640,animation/live action
tt1727824,live action
tt0386588,live action
tt0212338,live action
tt0454921,live action
tt0114148,hand animation
tt0078346,live action
tt0117218,live action
tt4465564,live action
tt1535109,live action
tt0119190,live action
tt0328828,live action
tt3402236,live action
tt0455944,live action
tt4477536,live action
tt0112642,live action
tt1279935,live action
tt0252076,live action
tt0112740,live action
tt0408790,live action
tt0109635,live action
tt0120632,live action
tt1109624,animation/live action
tt0449089,live action
tt0111282,live action
tt0131325,live action
tt0422704,live action
tt0098439,live action
tt0104070,live action
tt0184894,live action
tt0116253,live action
tt1621039,digital animation
tt0349773,live action
tt0865556,live action
tt0293508,live action
tt2281587,live action
tt0116250,live action
tt4302938,stop-motion animation
tt0122690,live action
tt1126591,live action
tt0116409,live action
tt0824747,live action
tt1298649,live action
tt0269347,live action
tt0128278,live action
tt0338466,live action
tt0839980,live action
tt2798920,live action
tt2554274,live action
tt1430626,stop-motion animation
tt0402022,live action
tt0115857,live action
tt0116277,live action
tt0414055,live action
tt0780567,live action
tt0279111,live action
tt0120390,live action
tt4047068,live action
tt0405676,live action
tt0167456,live action
tt0447666,live action
tt0338216,live action
tt0130089,live action
tt0160184,Live Action
tt0463034,live action
tt0814314,live action
tt0099674,live action
tt0368709,live action
tt0299930,live action
tt0162650,live action
tt0377818,live action
