prd_company,num_movies,com_dom_bo,com_wrld_bo
David Entertainment Company,2,198590336,447449374
Horseshoe Bay,3,198023124,353149242
Kennedy Miller,1,198000317,385000317
Wayne Rice,4,197523151,417173367
Eidos Interactive,2,196797941,430423128
Hey Eddie,3,196742778,351695429
Davis Films,11,196662420,1089122815
Sunday Night,4,196639244,349691590
Spring Creek Prod,5,196623743,390749098
Peters Entertainment,3,194321493,331245147
Malek Akkad,2,192739988,294003028
Double Dare You,4,192681035,582328302
Wind Dancer Films,4,192036778,384276691
Paramount Players,11,191254803,278739568
Gama Entertainment,2,191216282,485028891
Heavy Metal,1,191204754,485004754
Mednick Productions,2,191204754,485004754
Rough House Pictures,13,190876331,296558679
Avi Arad,1,190173195,375243139
Sean Daniel Company,4,188354897,585777363
Golden Mean,1,188042855,312183437
Orion Pictures,29,187258565,218815451
Depth of Field,12,186739495,535912071
Guy Walks Into a Bar,3,186430094,272113538
Wanda Media,21,184393825,2883104793
Overture Films,8,183983289,311771376
LBI Entertainment,4,183540576,339789937
Matt Groening,1,183135014,527071022
Wayans Brothers Entertainment,2,182813789,309424624
Smoke House Pictures,4,182763215,316898188
Baltimore Spring Creek Pictures,2,182693512,328786512
Levantine Films,3,181599209,249929644
Pure Flix,16,181268092,195951590
Ashok Amritraj,6,180580570,229519448
Nuyorican,4,180251890,267177559
Geffen Pictures,3,179898944,314679229
Momentum Pictures,25,179122127,565888683
T.D. Jakes,4,178790251,200676920
TPS Star,11,178399693,367968288
IMF,6,177965784,389294809
China Film Group,8,176830538,793148523
Gunnfilms,4,176722474,239087066
Amazon Studios,46,176286624,337867723
Blueprint Films,15,176180061,522714206
Mandalay Vision,10,176125637,306094086
Ludlum Entertainment,1,176087450,311001124
Hemdale,3,176052820,216071102
Automatik,39,175928141,292738103
Ivanhoe Pictures,3,175319554,289639273
SK Global,4,175087951,238838834
Gilbert Films,10,175064514,488345427
Electric Somewhere,1,174532921,238099711
Gulfstream Pictures,7,174429511,364045436
Chris Morgan Productions,2,173956935,760582290
Polygram Pictures,5,173869525,318380585
Neal Street,3,173826124,414853067
Harbinger Pictures,3,173710166,224378545
Groucho II Film Partnership,1,173396389,465421959
Michael Bay,3,172905798,280054722
Lorne Michaels,4,172179940,217085739
OddLot Entertainment,8,171662190,313221878
Producer Circle Company,1,170687518,306770545
Martin Bregman,3,170002424,254977424
TTK Productions,2,169418043,260018043
Bona Fide,13,169218250,296610190
EMI,1,169100479,340800479
Phillips,1,169100479,340800479
Celador Films,4,168402989,450466801
The Fyzz Facility,43,168013124,346882643
